codigo,label,qtd,pct,polaridade
63,PENDENCIA SOLUCIONADA,186,"50,4",pos
60,FALTA COM BUSCA / RECONFERENCIA,95,"25,7",neg
50,NOTA FISCAL DE DEVOLUCAO,64,"17,3",neg
80,PENDENCIA EM TRATATIVA,24,"6,5",neg
