ctrc,data_emissao,ultima_ocorrencia,historico,codigo,codigo_consulta,descricao_ocorrencia,complemento_ocorrencia,descricao_codigo,nf,remetente,destinatario,filial,valor_mercadoria,data_ocorrencia,cidade,uf,aging_dias,status_ace
GYN065409-4,05/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,NF LIBERADA PARA SEGUIR ROTA,PENDENCIA SOLUCIONADA,20058,44330274000114�,61074175002343�,GYN,"2.291,00",13/08/26,RIO DE JANEIRO,,7,solucionada
GYN065452-3,07/08/2026,ENTREGA AGENDADA,"ENTREGA AGENDADA P/ 25/08/26 06:00 - CONTATO MARIA BARROS, FONE 00.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1160604,22137853000102�,23048790000261�,VIX,"482.743,23",25/08/26,RIO DE JANEIRO,,0,solucionada
GYN065458-2,07/08/2026,MERCADORIA ENTREGUE COM COMPROVANTE RETIDO,CTE RETIDO PARA CONFERENCIA EM 18/08/26 17:00H,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"GENTILEZA, DESCONSIDERAR OCORRENCIA ABAIXO.",PENDENCIA SOLUCIONADA,1160599,22137853000102�,23048790000261�,VIX,"594.249,30",18/08/26,RIO DE JANEIRO,,2,solucionada
GYN065474-4,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,4450,10862668000100�,00071904700772�,DCX,"12.400,00",19/08/26,RIO DE JANEIRO,,1,solucionada
GYN065549-0,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 18:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,16328,44330274000203�,61074175002343�,GYN,"3.082,00",14/08/26,RIO DE JANEIRO,,6,solucionada
GYN065555-4,12/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de SAO PAULO.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1895,64433090000197�,67495605000171�,GYN,"3.497,53",12/08/2026,SAO PAULO,,8,solucionada
GYN065568-6,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,466462,07642426000198�,38310119000133�,GYN,"2.972,40",12/08/2026,ITABORAI,,8,solucionada
GYN065570-8,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,466467,07642426000198�,24415230000775�,GYN,"5.332,14",12/08/2026,QUEIMADOS,,8,solucionada
GYN065572-4,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 18/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,28856,50223823000740�,11060883000141�,GYN,"5.936,79",18/08/26,RIO DE JANEIRO,,2,solucionada
GYN065578-3,13/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,17303,30978117000105�,00016288774723�,GYN,"6.678,10",13/08/2026,RIO DAS OSTRAS,,7,solucionada
GYN065594-5,13/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,466513,07642426000198�,31383201000149�,GYN,"3.084,62",13/08/2026,MACAE,,7,solucionada
GYN065595-3,13/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 18/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,466368,07642426000198�,50021720000101�,GYN,"2.098,08",18/08/26,RIO DE JANEIRO,,2,solucionada
GYN065598-8,14/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUME FALTANTE ENVIADO PELA MINUTA GYS001023-5,63,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA SOLUCIONADA,17061,30978117000105�,15003311000181�,GYN,"9.562,24",14/08/2026,MARATAIZES,,6,solucionada
GYN065601-1,14/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 16:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,22016,75284224000848�,37842091000112�,GYN,"6.565,35",19/08/26,SERRA,,1,solucionada
GYN065603-8,14/08/2026,CHEGADA NA UNIDADE,"Chegada na unidade SERRA em 19/08/26, 10:57h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1597,47094421000192�,00013047541701�,GYN,"200,00",19/08/26,ALEGRE,,1,solucionada
GYN065611-9,14/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de SAO JOAO DE MERITI.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,220087,16900062000351�,21314559000166�,GYN,"6.000,00",14/08/2026,SAO JOAO DE MERITI,,6,solucionada
GYN065631-3,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1163542,22137853000102�,01505662000186�,GYN,"1.037.052,45",17/08/2026,SAO PAULO,,3,solucionada
GYN065632-1,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1163451,22137853000102�,04899316053661�,GYN,"140.633,45",17/08/2026,GUARULHOS,,3,solucionada
GYN065633-0,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1163501,22137853000102�,62245881000168�,GYN,"58.677,51",17/08/2026,SAO CAETANO DO SUL,,3,solucionada
GYN065657-7,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,3310,33185619000177�,27644831000152�,GYN,"10.800,00",17/08/2026,ASSIS,,3,solucionada
GYN065661-5,18/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,3307,33185619000177�,32979975000108�,GYN,"4.798,90",18/08/2026,EMBU DAS ARTES,,2,solucionada
GYS000962-8,17/07/2026,CTE BAIXADO,LIMPEZA DE SISTEMA EM 18/08/26 13:31H,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,25436,05112286000382�,05112286000110�,GYN,"161,00",18/08/26,GUARULHOS,,2,solucionada
GYS001021-9,14/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,69152,05112286000382�,05112286000544�,GYN,"0,01",14/08/2026,RIO DE JANEIRO,,6,solucionada
SPN004428-8,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 04/08/26 20:01H E FOI RECEBIDO POR RUBRRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,436765,78534674000163�,35397417000114�,MTZ,"70.845,72",04/08/26,GUARULHOS,,16,solucionada
SPN004465-2,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 17:23H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,43431,05462543000659�,35635824000112�,BSB,"2.760,42",11/08/26,FRANCO DA ROCHA,,9,solucionada
SPN004520-9,17/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"SEGUIR COM INVERSAO, AUTORIZADO POR REGIS!",PENDENCIA SOLUCIONADA,439143,78534674000163�,45791718000181�,MTZ,"95.747,12",17/08/2026,GUARULHOS,,3,solucionada
SPO320071-0,23/06/2026,P.I. (PROCESSO DE INDENIZACAO),P.I. (PROCESSO DE INDENIZACAO),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA FINALIZADA - PROCESSO DE INDENIZACAO!!!,PENDENCIA SOLUCIONADA,37348,02101808000190�,15653057000167�,GYN,"320,00",23/06/2026,GOIANIA,,58,solucionada
SPO321805-8,07/07/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS EM GYN,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS EM GYN,PENDENCIA SOLUCIONADA,68811,04155026000674�,08237002001859�,SPO,"2.632,72",07/07/2026,GOIANIA,,44,solucionada
SPO323127-5,17/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 16:00H E FOI RECEBIDO POR JEAN E CARIMBO, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,LOCALIZADOS 5 VOLUMES/BASE BSB,PENDENCIA SOLUCIONADA,70434,04155026000674�,43717563000108�,SPO,"17.895,58",17/08/26,CARIACICA,,3,solucionada
SPO324096-7,27/07/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de CONCEICAO DO CASTELO.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,393741,48024392000155�,36710053000143�,TSC,"1.902,59",27/07/2026,CONCEICAO DO CASTELO,,24,solucionada
SPO324114-9,27/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 05/08/26 14:28H E FOI RECEBIDO POR RUBLICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,7308,01505662000186�,22137853000102�,GYN,"4.926,19",05/08/26,GOIANIA,,15,solucionada
SPO324390-7,28/07/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de TABOAO DA SERRA.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,3576,60453002000168�,09211173000476�,VIX,"3.272,00",28/07/2026,TABOAO DA SERRA,,23,solucionada
SPO324551-9,29/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 06/08/26 16:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,417938,60745411000642�,48886192000101�,LEO,"9.009,00",06/08/26,BARRA DO PIRAI,,14,solucionada
SPO324552-7,29/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 04/08/26 16:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,418038,60745411000642�,39670136000144�,LEO,"3.756,00",04/08/26,NITEROI,,16,solucionada
SPO324553-5,29/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 04/08/26 16:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,418703,60745411000642�,56309147000112�,LEO,"21,00",04/08/26,NITEROI,,16,solucionada
SPO324564-1,30/07/2026,OCORRENCIA / PENDENCIA EM TRATATIVA,"SEGUNDO INFORMACAO DE OC ANTERIOR, PENDENCIA TRATANDO",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,"SEGUNDO INFORMACAO DE OC ANTERIOR, PENDENCIA TRATANDO",PENDENCIA EM TRATATIVA,436186,78534674000163�,08189587000130�,MTZ,"1.113,00",30/07/2026,SAO PAULO,,21,aberta
SPO324743-1,31/07/2026,ENTREGA REALIZADA,"ENTREGUE EM 13/08/26 13:48H E FOI RECEBIDO POR JONATHAN, PARENTESCO: CONFERENTE, DOC N.: CARIMBO (SSWMOBILE)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,173404,40595809000390�,05193067000294�,LEO,"21.670,79",13/08/26,BARRA DO PIRAI,,7,solucionada
SPO324803-8,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 12/08/26, IDENTIFICADA POR CAPTURA MECANICA DE IMAGEM ANEXA. (SSWScan)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"CONFORME VERIFICACAO REALIZADA, O VOLUME ENCONTRA-SE LOCALIZADO NA BAS",PENDENCIA SOLUCIONADA,237929,10440534000192�,04641376033573�,LEO,"4.750,69",12/08/26,CACHOEIRO DE ITAPEMIRIM,,8,solucionada
SPO324969-7,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 10/08/26, IDENTIFICADA POR CAPTURA MECANICA DE IMAGEM ANEXA. (SSWScan)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,81792,19082242000108�,57251588000173�,LEO,"19.906,13",10/08/26,CUIABA,,10,solucionada
SPO325003-2,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 17:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,31313,04283165000330�,02170725000153�,LEO,"15.450,00",11/08/26,CARIACICA,,9,solucionada
SPO325043-1,03/08/2026,ENTREGA REALIZADA,MERCADORIA ENTREGUE (opc 233),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,FALTA 1 CX DO COD: HRFS110F0917-23,PENDENCIA SOLUCIONADA,436786,78534674000163�,48392136000110�,MTZ,"5.705,00",03/08/2026,SAO JOSE DOS CAMPOS,,17,solucionada
SPO325133-1,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 17:44H E FOI RECEBIDO POR VINICIUS MATIAS, PARENTESCO: FUNCIONARIO, DOC N.: 33834782000113 (SSWMOBILE)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,12330,30056325000157�,33834782000113�,ATM,"2.575,00",17/08/26,ALTAMIRA,,3,solucionada
SPO325194-2,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 17:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,72667,04155026000674�,26762396000289�,SPO,"8.479,97",13/08/26,CARIACICA,,7,solucionada
SPO325274-4,04/08/2026,ENTREGA REALIZADA,"ENTREGUE EM 12/08/26 14:52H E FOI RECEBIDO POR TIAGO SILVA, PARENTESCO: CONFERENTE, DOC N.: 7054310 (SSWMOBILE). CO2 emitido para transportar esta mercadoria: 4.347,5g.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,1030352,11206099000441�,63554067019450�,SPO,"3.814,80",12/08/26,ANANINDEUA,,8,solucionada
SPO325292-2,04/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 17:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,574155,75284224000171�,23503789000107�,MTZ,"18.346,65",13/08/26,COLATINA,,7,solucionada
SPO325297-3,04/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 17:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,37980,18293680000144�,28053601000181�,MTZ,"7.254,45",11/08/26,SERRA,,9,solucionada
SPO325316-3,04/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,7868,17632650000152�,61082426001289�,GYN,"155.400,24",04/08/2026,GOIANIA,,16,solucionada
SPO325354-6,05/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 12/08/26, IDENTIFICADA POR CAPTURA MECANICA DE IMAGEM ANEXA. (SSWScan)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,238213,10440534000192�,18253720000124�,LEO,"2.088,06",12/08/26,CACHOEIRO DE ITAPEMIRIM,,8,solucionada
SPO325355-4,05/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 16:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,238287,10440534000192�,11873769000130�,LEO,"3.244,34",13/08/26,VILA VELHA,,7,solucionada
SPO325433-0,05/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,FALTA LOCALIZADA NO PARCEIRO KM ( SOLICITADA O RETORNO AO LUCAS REZEND,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,FALTA LOCALIZADA NO PARCEIRO KM ( SOLICITADA O RETORNO AO LUCAS REZEND,PENDENCIA SOLUCIONADA,419121,60745411000642�,29300045000163�,LEO,"11.025,00",05/08/2026,SAO GONCALO,,15,solucionada
SPO325441-1,05/08/2026,ENTREGA REALIZADA,"MERCADORIA ENTREGUE EM 12/08/26 16:15H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,5464,14034882000110�,27397051000155�,SPO,"750,09",12/08/26,GUARAPARI,,8,solucionada
SPO325452-6,05/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,73001,04155026000674�,38063210000100�,SPO,"10.916,51",05/08/2026,BRASILIA,,15,solucionada
SPO325544-1,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 17:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,12490,20753061000137�,05842258000159�,DCX,"20.165,40",13/08/26,RIO DE JANEIRO,,7,solucionada
SPO325561-1,06/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,1188,33094238000182�,40192022000115�,BSB,"8.204,15",06/08/2026,BRASILIA,,14,solucionada
SPO325608-1,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 12/08/26 17:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,574795,75284224000171�,09417752000127�,MTZ,"6.316,20",12/08/26,VILA VELHA,,8,solucionada
SPO325614-6,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,ENTREGA NAO E AGENDADA,PENDENCIA SOLUCIONADA,34617,50590553000624�,09653290000147�,SPO,"2.063,90",13/08/26,SAQUAREMA,,7,solucionada
SPO325623-5,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 17:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,25151,28141119000101�,08157293000127�,SPO,"7.771,27",11/08/26,SERRA,,9,solucionada
SPO325643-0,06/08/2026,ENTREGA REALIZADA,"MERCADORIA ENTREGUE EM 13/08/26 20:28H E FOI RECEBIDO POR ELOYZA CONCEICAO, PARENTESCO: FUCIONARIA, DOC N.: 14129976745 (OPC 038). CO2 emitido para transportar esta mercadoria: 8.476,1g.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,395322,48024392000155�,66929793000136�,TSC,"6.102,12",13/08/26,LINHARES,,7,solucionada
SPO325646-4,06/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de CONCEICAO DO CASTELO.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,395325,48024392000155�,36710053000143�,TSC,"3.574,42",06/08/2026,CONCEICAO DO CASTELO,,14,solucionada
SPO325647-2,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 18/08/26 16:00H E FOI RECEBIDO POR CARIMBO E RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,395324,48024392000155�,33324531000199�,VIX,"4.316,45",18/08/26,SERRA,,2,solucionada
SPO325648-1,06/08/2026,ENTREGA REALIZADA,"MERCADORIA ENTREGUE (SSWMOBILE). CO2 emitido para transportar esta mercadoria: 2.028,2g.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,395323,48024392000155�,05217395000100�,TSC,"1.671,02",06/08/2026,SANTA TERESA,,14,solucionada
SPO325654-5,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,437603,78534674000163�,36538312000109�,MTZ,"2.750,40",11/08/26,PETROPOLIS,,9,solucionada
SPO325656-1,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 14:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,436102,78534674000163�,33234252000134�,MTZ,"5.641,03",11/08/26,RIO DE JANEIRO,,9,solucionada
SPO325657-0,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 12/08/26 16:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,424758,78534674000163�,47034435000110�,MTZ,"1.827,53",12/08/26,RIO DE JANEIRO,,8,solucionada
SPO325662-6,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,436103,78534674000163�,34536819000190�,MTZ,"5.098,07",11/08/26,PETROPOLIS,,9,solucionada
