dia,label,qtd
1,01,8
2,02,0
3,03,180
4,04,141
5,05,207
6,06,120
7,07,151
8,08,28
9,09,17
10,10,128
11,11,157
12,12,171
13,13,128
14,14,148
15,15,6
16,16,0
17,17,172
18,18,131
19,19,274
20,20,178
21,21,27
