cliente,dias_max,qtd,frete,peso
(sem cliente),0,241,231027.1100000005,215060.432
TRN,0,9,0.09,3932.040000000001
CGB,0,4,0.04,1058.0900000000001
XUFVD,0,2,8273.0,7176.095
BSB,0,2,0.02,3.01
PAA,0,1,0.01,0.01
CROSS,0,1,305.6,91.47
