ctrc,destinatario,destino,agendado_para,status_raw
GYN065303-9,CENCOSUD BRAS,SPOP SP SAO PA,11/08/26 07:00,90 11/08/26 EM ROTA DE ENT
SPO324775-9,SONDA SUPERM,SPOP SP SAO BE,11/08/26 07:00,90 11/08/26 EM ROTA DE ENT
